E_low_MeV,E_high_MeV,E_center_MeV,counts_total,counts_primary,counts_secondary,prob_total_per_bin
0.38,0.39,0.385,1348,0,1348,0.001348
0.39,0.4,0.395,1402,0,1402,0.001402
0.4,0.41000000000000003,0.405,1446,0,1446,0.001446
0.41000000000000003,0.42,0.41500000000000004,1399,0,1399,0.001399
0.42,0.43,0.425,1334,0,1334,0.001334
0.43,0.44,0.435,1387,0,1387,0.001387
0.44,0.45,0.445,1410,0,1410,0.00141
0.45,0.46,0.455,1390,0,1390,0.00139
0.46,0.47000000000000003,0.465,1410,0,1410,0.00141
0.47000000000000003,0.48,0.475,1426,0,1426,0.001426
0.48,0.49,0.485,1416,0,1416,0.001416
0.49,0.5,0.495,1405,0,1405,0.001405
0.5,0.51,0.505,1416,0,1416,0.001416
0.51,0.52,0.515,1416,0,1416,0.001416
0.52,0.53,0.525,1365,0,1365,0.001365
0.53,0.54,0.535,1397,0,1397,0.001397
0.54,0.55,0.545,1438,0,1438,0.001438
0.55,0.56,0.555,1399,0,1399,0.001399
0.56,0.5700000000000001,0.5650000000000001,1373,0,1373,0.001373
0.5700000000000001,0.58,0.575,1377,0,1377,0.001377
0.58,0.59,0.585,1432,0,1432,0.001432
0.59,0.6,0.595,1472,0,1472,0.001472
0.6,0.61,0.605,1440,0,1440,0.00144
0.61,0.62,0.615,1403,0,1403,0.001403
0.62,0.63,0.625,1440,0,1440,0.00144
0.63,0.64,0.635,1352,0,1352,0.001352
0.64,0.65,0.645,1407,0,1407,0.001407
0.65,0.66,0.655,1342,0,1342,0.001342
0.66,0.67,0.665,1329,0,1329,0.001329
0.67,0.68,0.675,1384,0,1384,0.001384
0.68,0.6900000000000001,0.685,1448,0,1448,0.001448
0.6900000000000001,0.7000000000000001,0.6950000000000001,1324,0,1324,0.001324
0.7000000000000001,0.71,0.7050000000000001,1384,0,1384,0.001384
0.71,0.72,0.715,1437,0,1437,0.001437
0.72,0.73,0.725,1390,0,1390,0.00139
0.73,0.74,0.735,1403,0,1403,0.001403
0.74,0.75,0.745,1361,0,1361,0.001361
0.75,0.76,0.755,1361,0,1361,0.001361
0.76,0.77,0.765,1384,0,1384,0.001384
0.77,0.78,0.775,1359,0,1359,0.001359
0.78,0.79,0.785,1407,0,1407,0.001407
0.79,0.8,0.795,1386,0,1386,0.001386
0.8,0.81,0.805,1375,0,1375,0.001375
0.81,0.8200000000000001,0.8150000000000001,1398,0,1398,0.001398
0.8200000000000001,0.8300000000000001,0.8250000000000001,1406,0,1406,0.001406
0.8300000000000001,0.84,0.835,1463,0,1463,0.001463
0.84,0.85,0.845,1344,0,1344,0.001344
0.85,0.86,0.855,1433,0,1433,0.001433
0.86,0.87,0.865,1442,0,1442,0.001442
0.87,0.88,0.875,1439,0,1439,0.001439
0.88,0.89,0.885,1367,0,1367,0.001367
0.89,0.9,0.895,1389,0,1389,0.001389
0.9,0.91,0.905,1387,0,1387,0.001387
0.91,0.92,0.915,1366,0,1366,0.001366
0.92,0.93,0.925,1361,0,1361,0.001361
0.93,0.9400000000000001,0.935,1417,0,1417,0.001417
0.9400000000000001,0.9500000000000001,0.9450000000000001,1367,0,1367,0.001367
0.9500000000000001,0.96,0.9550000000000001,1402,0,1402,0.001402
0.96,0.97,0.965,1393,0,1393,0.001393
0.97,0.98,0.975,1429,0,1429,0.001429
0.98,0.99,0.985,1353,0,1353,0.001353
0.99,1.0,0.995,1394,0,1394,0.001394
1.0,1.01,1.005,1404,0,1404,0.001404
1.01,1.02,1.0150000000000001,1338,0,1338,0.001338
1.02,1.03,1.025,1354,0,1354,0.001354
1.03,1.04,1.0350000000000001,1364,0,1364,0.001364
1.04,1.05,1.045,1386,0,1386,0.001386
1.05,1.06,1.0550000000000002,1394,0,1394,0.001394
1.06,1.07,1.065,1480,0,1480,0.00148
1.07,1.08,1.0750000000000002,1342,0,1342,0.001342
1.08,1.09,1.085,1425,0,1425,0.001425
1.09,1.1,1.0950000000000002,1342,0,1342,0.001342
1.1,1.11,1.105,1386,0,1386,0.001386
1.11,1.12,1.1150000000000002,1451,0,1451,0.001451
1.12,1.1300000000000001,1.125,1385,0,1385,0.001385
1.1300000000000001,1.1400000000000001,1.1350000000000002,1408,0,1408,0.001408
1.1400000000000001,1.1500000000000001,1.145,1423,0,1423,0.001423
1.1500000000000001,1.16,1.155,1376,0,1376,0.001376
1.16,1.17,1.165,1432,0,1432,0.001432
1.17,1.18,1.1749999999999998,1372,0,1372,0.001372
1.18,1.19,1.185,1296,0,1296,0.001296
1.19,1.2,1.1949999999999998,1385,0,1385,0.001385
1.2,1.21,1.205,1376,0,1376,0.001376
1.21,1.22,1.2149999999999999,1380,0,1380,0.00138
1.22,1.23,1.225,1454,0,1454,0.001454
1.23,1.24,1.2349999999999999,1309,0,1309,0.001309
1.24,1.25,1.245,1420,0,1420,0.00142
1.25,1.26,1.255,1413,0,1413,0.001413
1.26,1.27,1.2650000000000001,1323,0,1323,0.001323
1.27,1.28,1.275,1367,0,1367,0.001367
1.28,1.29,1.2850000000000001,1394,0,1394,0.001394
1.29,1.3,1.295,1372,0,1372,0.001372
1.3,1.31,1.3050000000000002,1421,0,1421,0.001421
1.31,1.32,1.315,1391,0,1391,0.001391
1.32,1.33,1.3250000000000002,1349,0,1349,0.001349
1.33,1.34,1.335,1443,0,1443,0.001443
1.34,1.35,1.3450000000000002,1372,0,1372,0.001372
1.35,1.36,1.355,1370,0,1370,0.00137
1.36,1.37,1.3650000000000002,1339,0,1339,0.001339
1.37,1.3800000000000001,1.375,1480,0,1480,0.00148
1.3800000000000001,1.3900000000000001,1.3850000000000002,1409,0,1409,0.001409
1.3900000000000001,1.4000000000000001,1.395,1467,0,1467,0.001467
1.4000000000000001,1.41,1.405,1336,0,1336,0.001336
1.41,1.42,1.415,1432,0,1432,0.001432
1.42,1.43,1.4249999999999998,1364,0,1364,0.001364
1.43,1.44,1.435,1307,0,1307,0.001307
1.44,1.45,1.4449999999999998,1393,0,1393,0.001393
1.45,1.46,1.455,1406,0,1406,0.001406
1.46,1.47,1.4649999999999999,1355,0,1355,0.001355
1.47,1.48,1.475,1333,0,1333,0.001333
1.48,1.49,1.4849999999999999,1391,0,1391,0.001391
1.49,1.5,1.495,1365,0,1365,0.001365
1.5,1.51,1.505,1364,0,1364,0.001364
1.51,1.52,1.5150000000000001,1400,0,1400,0.0014
1.52,1.53,1.525,1497,0,1497,0.001497
1.53,1.54,1.5350000000000001,1389,0,1389,0.001389
1.54,1.55,1.545,1346,0,1346,0.001346
1.55,1.56,1.5550000000000002,1388,0,1388,0.001388
1.56,1.57,1.565,1436,0,1436,0.001436
1.57,1.58,1.5750000000000002,1425,0,1425,0.001425
1.58,1.59,1.585,1401,0,1401,0.001401
1.59,1.6,1.5950000000000002,1371,0,1371,0.001371
1.6,1.61,1.605,1408,0,1408,0.001408
1.61,1.62,1.6150000000000002,1407,0,1407,0.001407
1.62,1.6300000000000001,1.625,1393,0,1393,0.001393
1.6300000000000001,1.6400000000000001,1.6350000000000002,1423,0,1423,0.001423
1.6400000000000001,1.6500000000000001,1.645,1360,0,1360,0.00136
1.6500000000000001,1.6600000000000001,1.6550000000000002,1454,0,1454,0.001454
1.6600000000000001,1.67,1.665,1382,0,1382,0.001382
1.67,1.68,1.6749999999999998,1392,0,1392,0.001392
1.68,1.69,1.685,1328,0,1328,0.001328
1.69,1.7,1.6949999999999998,1475,0,1475,0.001475
1.7,1.71,1.705,1365,0,1365,0.001365
1.71,1.72,1.7149999999999999,1379,0,1379,0.001379
1.72,1.73,1.725,1399,0,1399,0.001399
1.73,1.74,1.7349999999999999,1408,0,1408,0.001408
1.74,1.75,1.745,1347,0,1347,0.001347
1.75,1.76,1.755,1385,0,1385,0.001385
1.76,1.77,1.7650000000000001,1428,0,1428,0.001428
1.77,1.78,1.775,1424,0,1424,0.001424
1.78,1.79,1.7850000000000001,1496,0,1496,0.001496
1.79,1.8,1.795,1427,0,1427,0.001427
1.8,1.81,1.8050000000000002,1353,0,1353,0.001353
1.81,1.82,1.815,1378,0,1378,0.001378
1.82,1.83,1.8250000000000002,1405,0,1405,0.001405
1.83,1.84,1.835,1425,0,1425,0.001425
1.84,1.85,1.8450000000000002,1386,0,1386,0.001386
1.85,1.86,1.855,1433,0,1433,0.001433
1.86,1.87,1.8650000000000002,1349,0,1349,0.001349
1.87,1.8800000000000001,1.875,1436,0,1436,0.001436
1.8800000000000001,1.8900000000000001,1.8850000000000002,1463,0,1463,0.001463
1.8900000000000001,1.9000000000000001,1.895,1411,0,1411,0.001411
1.9000000000000001,1.9100000000000001,1.9050000000000002,1443,0,1443,0.001443
1.9100000000000001,1.92,1.915,1370,0,1370,0.00137
1.92,1.93,1.9249999999999998,1446,0,1446,0.001446
1.93,1.94,1.935,1465,0,1465,0.001465
1.94,1.95,1.9449999999999998,1422,0,1422,0.001422
1.95,1.96,1.955,1417,0,1417,0.001417
1.96,1.97,1.9649999999999999,1414,0,1414,0.001414
1.97,1.98,1.975,1401,0,1401,0.001401
1.98,1.99,1.9849999999999999,1407,0,1407,0.001407
1.99,2.0,1.995,1425,0,1425,0.001425
2.0,2.0100000000000002,2.005,1371,0,1371,0.001371
2.0100000000000002,2.02,2.015,1371,0,1371,0.001371
2.02,2.0300000000000002,2.0250000000000004,1327,0,1327,0.001327
2.0300000000000002,2.04,2.035,1438,0,1438,0.001438
2.04,2.05,2.045,1449,0,1449,0.001449
2.05,2.06,2.0549999999999997,1412,0,1412,0.001412
2.06,2.07,2.065,1358,0,1358,0.001358
2.07,2.08,2.075,1398,0,1398,0.001398
2.08,2.09,2.085,1391,0,1391,0.001391
2.09,2.1,2.0949999999999998,1450,0,1450,0.00145
2.1,2.11,2.105,1440,0,1440,0.00144
2.11,2.12,2.115,1419,0,1419,0.001419
2.12,2.13,2.125,1456,0,1456,0.001456
2.13,2.14,2.135,1400,0,1400,0.0014
2.14,2.15,2.145,1431,0,1431,0.001431
2.15,2.16,2.1550000000000002,1390,0,1390,0.00139
2.16,2.17,2.165,1400,0,1400,0.0014
2.17,2.18,2.175,1375,0,1375,0.001375
2.18,2.19,2.185,1422,0,1422,0.001422
2.19,2.2,2.1950000000000003,1395,0,1395,0.001395
2.2,2.21,2.205,1425,0,1425,0.001425
2.21,2.22,2.215,1354,0,1354,0.001354
2.22,2.23,2.225,1393,0,1393,0.001393
2.23,2.24,2.2350000000000003,1329,0,1329,0.001329
2.24,2.25,2.245,1457,0,1457,0.001457
2.25,2.2600000000000002,2.255,1376,0,1376,0.001376
2.2600000000000002,2.27,2.265,1395,0,1395,0.001395
2.27,2.2800000000000002,2.2750000000000004,1416,0,1416,0.001416
2.2800000000000002,2.29,2.285,1355,0,1355,0.001355
2.29,2.3000000000000003,2.295,1340,0,1340,0.00134
2.3000000000000003,2.31,2.305,1397,0,1397,0.001397
2.31,2.32,2.315,1405,0,1405,0.001405
2.32,2.33,2.325,1435,0,1435,0.001435
2.33,2.34,2.335,1402,0,1402,0.001402
2.34,2.35,2.3449999999999998,1419,0,1419,0.001419
2.35,2.36,2.355,1355,0,1355,0.001355
2.36,2.37,2.365,1458,0,1458,0.001458
2.37,2.38,2.375,1427,0,1427,0.001427
2.38,2.39,2.385,1340,0,1340,0.00134
2.39,2.4,2.395,1399,0,1399,0.001399
2.4,2.41,2.4050000000000002,1393,0,1393,0.001393
2.41,2.42,2.415,1385,0,1385,0.001385
2.42,2.43,2.425,1435,0,1435,0.001435
2.43,2.44,2.435,1409,0,1409,0.001409
2.44,2.45,2.4450000000000003,1391,0,1391,0.001391
2.45,2.46,2.455,1364,0,1364,0.001364
2.46,2.47,2.465,1397,0,1397,0.001397
2.47,2.48,2.475,1375,0,1375,0.001375
2.48,2.49,2.4850000000000003,1401,0,1401,0.001401
2.49,2.5,2.495,1346,0,1346,0.001346
2.5,2.5100000000000002,2.505,1433,0,1433,0.001433
2.5100000000000002,2.52,2.515,1369,0,1369,0.001369
2.52,2.5300000000000002,2.5250000000000004,1422,0,1422,0.001422
2.5300000000000002,2.54,2.535,1331,0,1331,0.001331
2.54,2.5500000000000003,2.545,1439,0,1439,0.001439
2.5500000000000003,2.56,2.555,1420,0,1420,0.00142
2.56,2.57,2.565,1357,0,1357,0.001357
2.57,2.58,2.575,1421,0,1421,0.001421
2.58,2.59,2.585,1502,0,1502,0.001502
2.59,2.6,2.5949999999999998,1321,0,1321,0.001321
2.6,2.61,2.605,1336,0,1336,0.001336
2.61,2.62,2.615,1437,0,1437,0.001437
2.62,2.63,2.625,1401,0,1401,0.001401
2.63,2.64,2.635,1321,0,1321,0.001321
2.64,2.65,2.645,1413,0,1413,0.001413
2.65,2.66,2.6550000000000002,1384,0,1384,0.001384
2.66,2.67,2.665,1395,0,1395,0.001395
2.67,2.68,2.675,1414,0,1414,0.001414
2.68,2.69,2.685,1439,0,1439,0.001439
2.69,2.7,2.6950000000000003,1404,0,1404,0.001404
2.7,2.71,2.705,1371,0,1371,0.001371
2.71,2.72,2.715,1387,0,1387,0.001387
2.72,2.73,2.725,1368,0,1368,0.001368
2.73,2.74,2.7350000000000003,1388,0,1388,0.001388
2.74,2.75,2.745,1353,0,1353,0.001353
2.75,2.7600000000000002,2.755,1406,0,1406,0.001406
2.7600000000000002,2.77,2.765,1365,0,1365,0.001365
2.77,2.7800000000000002,2.7750000000000004,1348,0,1348,0.001348
2.7800000000000002,2.79,2.785,1422,0,1422,0.001422
2.79,2.8000000000000003,2.795,1447,0,1447,0.001447
2.8000000000000003,2.81,2.805,1423,0,1423,0.001423
2.81,2.82,2.815,1369,0,1369,0.001369
2.82,2.83,2.825,1382,0,1382,0.001382
2.83,2.84,2.835,1373,0,1373,0.001373
2.84,2.85,2.8449999999999998,1387,0,1387,0.001387
2.85,2.86,2.855,1459,0,1459,0.001459
2.86,2.87,2.865,1389,0,1389,0.001389
2.87,2.88,2.875,1430,0,1430,0.00143
2.88,2.89,2.885,1431,0,1431,0.001431
2.89,2.9,2.895,1400,0,1400,0.0014
2.9,2.91,2.9050000000000002,1385,0,1385,0.001385
2.91,2.92,2.915,1371,0,1371,0.001371
2.92,2.93,2.925,1384,0,1384,0.001384
2.93,2.94,2.935,1403,0,1403,0.001403
2.94,2.95,2.9450000000000003,1410,0,1410,0.00141
2.95,2.96,2.955,1353,0,1353,0.001353
2.96,2.97,2.965,1414,0,1414,0.001414
2.97,2.98,2.975,1352,0,1352,0.001352
2.98,2.99,2.9850000000000003,1370,0,1370,0.00137
2.99,3.0,2.995,1429,0,1429,0.001429
3.0,3.0100000000000002,3.005,1408,0,1408,0.001408
3.0100000000000002,3.02,3.015,1355,0,1355,0.001355
3.02,3.0300000000000002,3.0250000000000004,1364,0,1364,0.001364
3.0300000000000002,3.04,3.035,1370,0,1370,0.00137
3.04,3.0500000000000003,3.045,1400,0,1400,0.0014
3.0500000000000003,3.06,3.055,1398,0,1398,0.001398
3.06,3.0700000000000003,3.0650000000000004,1387,0,1387,0.001387
3.0700000000000003,3.08,3.075,1414,0,1414,0.001414
3.08,3.09,3.085,1424,0,1424,0.001424
3.09,3.1,3.0949999999999998,1367,0,1367,0.001367
3.1,3.11,3.105,1371,0,1371,0.001371
3.11,3.12,3.115,1410,0,1410,0.00141
3.12,3.13,3.125,1411,0,1411,0.001411
3.13,3.14,3.135,1399,0,1399,0.001399
3.14,3.15,3.145,1387,0,1387,0.001387
3.15,3.16,3.1550000000000002,1438,0,1438,0.001438
3.16,3.17,3.165,1370,0,1370,0.00137
3.17,3.18,3.175,1396,0,1396,0.001396
3.18,3.19,3.185,1348,0,1348,0.001348
3.19,3.2,3.1950000000000003,1433,0,1433,0.001433
3.2,3.21,3.205,1410,0,1410,0.00141
3.21,3.22,3.215,1357,0,1357,0.001357
3.22,3.23,3.225,1368,0,1368,0.001368
3.23,3.24,3.2350000000000003,1434,0,1434,0.001434
3.24,3.25,3.245,1403,0,1403,0.001403
3.25,3.2600000000000002,3.255,1415,0,1415,0.001415
3.2600000000000002,3.27,3.265,1312,0,1312,0.001312
3.27,3.2800000000000002,3.2750000000000004,1364,0,1364,0.001364
3.2800000000000002,3.29,3.285,1419,0,1419,0.001419
3.29,3.3000000000000003,3.295,1360,0,1360,0.00136
3.3000000000000003,3.31,3.305,1357,0,1357,0.001357
3.31,3.3200000000000003,3.3150000000000004,1368,0,1368,0.001368
3.3200000000000003,3.33,3.325,1441,0,1441,0.001441
3.33,3.34,3.335,1384,0,1384,0.001384
3.34,3.35,3.3449999999999998,1467,0,1467,0.001467
3.35,3.36,3.355,1414,0,1414,0.001414
3.36,3.37,3.365,1434,0,1434,0.001434
3.37,3.38,3.375,1341,0,1341,0.001341
3.38,3.39,3.385,1401,0,1401,0.001401
3.39,3.4,3.395,1381,0,1381,0.001381
3.4,3.41,3.4050000000000002,1383,0,1383,0.001383
3.41,3.42,3.415,1410,0,1410,0.00141
3.42,3.43,3.425,1392,0,1392,0.001392
3.43,3.44,3.435,1390,0,1390,0.00139
3.44,3.45,3.4450000000000003,1437,0,1437,0.001437
3.45,3.46,3.455,1407,0,1407,0.001407
3.46,3.47,3.465,1417,0,1417,0.001417
3.47,3.48,3.475,1391,0,1391,0.001391
3.48,3.49,3.4850000000000003,1301,0,1301,0.001301
3.49,3.5,3.495,1360,0,1360,0.00136
3.5,3.5100000000000002,3.505,1408,0,1408,0.001408
3.5100000000000002,3.52,3.515,1433,0,1433,0.001433
3.52,3.5300000000000002,3.5250000000000004,1263,0,1263,0.001263
3.5300000000000002,3.54,3.535,1477,0,1477,0.001477
3.54,3.5500000000000003,3.545,1387,0,1387,0.001387
3.5500000000000003,3.56,3.555,1449,0,1449,0.001449
3.56,3.5700000000000003,3.5650000000000004,1376,0,1376,0.001376
3.5700000000000003,3.58,3.575,1437,0,1437,0.001437
3.58,3.59,3.585,1343,0,1343,0.001343
3.59,3.6,3.5949999999999998,1421,0,1421,0.001421
3.6,3.61,3.605,1462,0,1462,0.001462
3.61,3.62,3.615,1429,0,1429,0.001429
3.62,3.63,3.625,1431,0,1431,0.001431
3.63,3.64,3.635,1449,0,1449,0.001449
3.64,3.65,3.645,1389,0,1389,0.001389
3.65,3.66,3.6550000000000002,1373,0,1373,0.001373
3.66,3.67,3.665,1357,0,1357,0.001357
3.67,3.68,3.675,1452,0,1452,0.001452
3.68,3.69,3.685,1380,0,1380,0.00138
3.69,3.7,3.6950000000000003,1450,0,1450,0.00145
3.7,3.71,3.705,1341,0,1341,0.001341
3.71,3.72,3.715,1295,0,1295,0.001295
3.72,3.73,3.725,1428,0,1428,0.001428
3.73,3.74,3.7350000000000003,1409,0,1409,0.001409
3.74,3.75,3.745,1383,0,1383,0.001383
3.75,3.7600000000000002,3.755,335200,333758,1442,0.3352
3.7600000000000002,3.77,3.765,1386,0,1386,0.001386
3.77,3.7800000000000002,3.7750000000000004,1422,0,1422,0.001422
3.7800000000000002,3.79,3.785,1389,0,1389,0.001389
3.79,3.8000000000000003,3.795,1409,0,1409,0.001409
3.8000000000000003,3.81,3.805,1353,0,1353,0.001353
3.81,3.8200000000000003,3.8150000000000004,1357,0,1357,0.001357
3.8200000000000003,3.83,3.825,1404,0,1404,0.001404
3.83,3.84,3.835,1358,0,1358,0.001358
3.84,3.85,3.8449999999999998,1434,0,1434,0.001434
3.85,3.86,3.855,1348,0,1348,0.001348
3.86,3.87,3.865,1457,0,1457,0.001457
3.87,3.88,3.875,1390,0,1390,0.00139
3.88,3.89,3.885,1368,0,1368,0.001368
3.89,3.9,3.895,1359,0,1359,0.001359
3.9,3.91,3.9050000000000002,1387,0,1387,0.001387
3.91,3.92,3.915,1353,0,1353,0.001353
3.92,3.93,3.925,1359,0,1359,0.001359
3.93,3.94,3.935,1356,0,1356,0.001356
3.94,3.95,3.9450000000000003,1385,0,1385,0.001385
3.95,3.96,3.955,1397,0,1397,0.001397
3.96,3.97,3.965,1427,0,1427,0.001427
3.97,3.98,3.975,1443,0,1443,0.001443
3.98,3.99,3.9850000000000003,1405,0,1405,0.001405
3.99,4.0,3.995,1377,0,1377,0.001377
4.0,4.01,4.005,1374,0,1374,0.001374
4.01,4.0200000000000005,4.015000000000001,1376,0,1376,0.001376
4.0200000000000005,4.03,4.025,1346,0,1346,0.001346
4.03,4.04,4.035,1412,0,1412,0.001412
4.04,4.05,4.045,1416,0,1416,0.001416
4.05,4.0600000000000005,4.055,1348,0,1348,0.001348
4.0600000000000005,4.07,4.065,1383,0,1383,0.001383
4.07,4.08,4.075,1363,0,1363,0.001363
4.08,4.09,4.085,1338,0,1338,0.001338
4.09,4.1,4.095,1356,0,1356,0.001356
4.1,4.11,4.105,1369,0,1369,0.001369
4.11,4.12,4.115,1380,0,1380,0.00138
4.12,4.13,4.125,1387,0,1387,0.001387
4.13,4.14,4.135,1363,0,1363,0.001363
4.14,4.15,4.145,1425,0,1425,0.001425
4.15,4.16,4.155,1394,0,1394,0.001394
4.16,4.17,4.165,1404,0,1404,0.001404
4.17,4.18,4.175,1397,0,1397,0.001397
4.18,4.19,4.1850000000000005,1377,0,1377,0.001377
4.19,4.2,4.195,1398,0,1398,0.001398
4.2,4.21,4.205,1380,0,1380,0.00138
4.21,4.22,4.215,1431,0,1431,0.001431
4.22,4.23,4.225,1427,0,1427,0.001427
4.23,4.24,4.235,1359,0,1359,0.001359
4.24,4.25,4.245,1405,0,1405,0.001405
4.25,4.26,4.255,1415,0,1415,0.001415
4.26,4.2700000000000005,4.265000000000001,1362,0,1362,0.001362
4.2700000000000005,4.28,4.275,1379,0,1379,0.001379
4.28,4.29,4.285,1415,0,1415,0.001415
4.29,4.3,4.295,1343,0,1343,0.001343
4.3,4.3100000000000005,4.305,1400,0,1400,0.0014
4.3100000000000005,4.32,4.315,1381,0,1381,0.001381
4.32,4.33,4.325,1357,0,1357,0.001357
4.33,4.34,4.335,1322,0,1322,0.001322
4.34,4.3500000000000005,4.345000000000001,1333,0,1333,0.001333
4.3500000000000005,4.36,4.355,1412,0,1412,0.001412
4.36,4.37,4.365,1403,0,1403,0.001403
4.37,4.38,4.375,1457,0,1457,0.001457
4.38,4.39,4.385,1421,0,1421,0.001421
4.39,4.4,4.395,1463,0,1463,0.001463
4.4,4.41,4.405,1432,0,1432,0.001432
4.41,4.42,4.415,1349,0,1349,0.001349
4.42,4.43,4.425,1396,0,1396,0.001396
4.43,4.44,4.4350000000000005,1378,0,1378,0.001378
4.44,4.45,4.445,1382,0,1382,0.001382
4.45,4.46,4.455,1353,0,1353,0.001353
4.46,4.47,4.465,1394,0,1394,0.001394
4.47,4.48,4.475,1343,0,1343,0.001343
4.48,4.49,4.485,1443,0,1443,0.001443
4.49,4.5,4.495,1352,0,1352,0.001352
4.5,4.51,4.505,1425,0,1425,0.001425
4.51,4.5200000000000005,4.515000000000001,1344,0,1344,0.001344
4.5200000000000005,4.53,4.525,1416,0,1416,0.001416
4.53,4.54,4.535,1364,0,1364,0.001364
4.54,4.55,4.545,1447,0,1447,0.001447
4.55,4.5600000000000005,4.555,1432,0,1432,0.001432
4.5600000000000005,4.57,4.565,1384,0,1384,0.001384
4.57,4.58,4.575,1432,0,1432,0.001432
4.58,4.59,4.585,1437,0,1437,0.001437
4.59,4.6000000000000005,4.595000000000001,1342,0,1342,0.001342
4.6000000000000005,4.61,4.605,1424,0,1424,0.001424
4.61,4.62,4.615,1409,0,1409,0.001409
4.62,4.63,4.625,1433,0,1433,0.001433
4.63,4.64,4.635,1397,0,1397,0.001397
4.64,4.65,4.645,1446,0,1446,0.001446
4.65,4.66,4.655,1382,0,1382,0.001382
4.66,4.67,4.665,1415,0,1415,0.001415
4.67,4.68,4.675,1408,0,1408,0.001408
4.68,4.69,4.6850000000000005,1376,0,1376,0.001376
4.69,4.7,4.695,1445,0,1445,0.001445
4.7,4.71,4.705,1435,0,1435,0.001435
4.71,4.72,4.715,1408,0,1408,0.001408
4.72,4.73,4.725,1413,0,1413,0.001413
4.73,4.74,4.735,1439,0,1439,0.001439
4.74,4.75,4.745,1410,0,1410,0.00141
4.75,4.76,4.755,1359,0,1359,0.001359
4.76,4.7700000000000005,4.765000000000001,1357,0,1357,0.001357
4.7700000000000005,4.78,4.775,1385,0,1385,0.001385
4.78,4.79,4.785,1432,0,1432,0.001432
4.79,4.8,4.795,1434,0,1434,0.001434
4.8,4.8100000000000005,4.805,1471,0,1471,0.001471
4.8100000000000005,4.82,4.815,1399,0,1399,0.001399
4.82,4.83,4.825,1428,0,1428,0.001428
4.83,4.84,4.835,1311,0,1311,0.001311
4.84,4.8500000000000005,4.845000000000001,262,0,262,0.000262
4.8500000000000005,4.86,4.855,0,0,0,0.0
4.86,4.87,4.865,0,0,0,0.0
4.87,4.88,4.875,0,0,0,0.0
4.88,4.89,4.885,0,0,0,0.0
4.89,4.9,4.895,0,0,0,0.0
4.9,4.91,4.905,0,0,0,0.0
4.91,4.92,4.915,0,0,0,0.0
4.92,4.93,4.925,0,0,0,0.0
4.93,4.94,4.9350000000000005,0,0,0,0.0
4.94,4.95,4.945,0,0,0,0.0
4.95,4.96,4.955,0,0,0,0.0
4.96,4.97,4.965,0,0,0,0.0
4.97,4.98,4.975,0,0,0,0.0
4.98,4.99,4.985,0,0,0,0.0
4.99,5.0,4.995,0,0,0,0.0
5.0,5.01,5.005,0,0,0,0.0
5.01,5.0200000000000005,5.015000000000001,0,0,0,0.0
5.0200000000000005,5.03,5.025,0,0,0,0.0
5.03,5.04,5.035,0,0,0,0.0
5.04,5.05,5.045,0,0,0,0.0
5.05,5.0600000000000005,5.055,0,0,0,0.0
5.0600000000000005,5.07,5.065,0,0,0,0.0
5.07,5.08,5.075,0,0,0,0.0
5.08,5.09,5.085,0,0,0,0.0
5.09,5.1000000000000005,5.095000000000001,0,0,0,0.0
